"","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address","NearbyTraffic_1984","NearbyTraffic_1985","NearbyTraffic_1986","NearbyTraffic_1987","NearbyTraffic_1988","NearbyTraffic_1989","NearbyTraffic_1990","NearbyTraffic_1991","NearbyTraffic_1992","NearbyTraffic_1993","NearbyTraffic_1994","NearbyTraffic_1995","NearbyTraffic_1996","NearbyTraffic_1997","NearbyTraffic_1998","NearbyTraffic_1999","NearbyTraffic_2000","NearbyTraffic_2001","NearbyTraffic_2002","NearbyTraffic_2003","NearbyTraffic_2004","NearbyTraffic_2005","NearbyTraffic_2006","NearbyTraffic_2007","NearbyTraffic_2008","NearbyTraffic_2009","NearbyTraffic_2010","NearbyTraffic_2011","NearbyTraffic_2012","NearbyTraffic_2013","NearbyTraffic_2014","NearbyTraffic_2015","NearbyTraffic_2016","NearbyTraffic_2017","NearbyTraffic_2018","NearbyTraffic_2019","NearbyTraffic_2020","NearbyTraffic_2021","NearbyTraffic_2022","NearbyTraffic_2023"
"21","35 Erindale Avenue",43.677316,-79.357467,"Surface",2,93,"2.00","35 Erindale Avenue",9130.875,9667,9539.375,9501.375,9058.375,10861.75,8299.75,10734.25,8009,6348.75,10224.1875,9546.625,10237.5,8586.375,8350.5,7975.5,8190.75,4840.125,4940.75,4710.125,4439.125,6490.625,5103.875,1180.625,8204.375,4821.875,7737.875,5065,5109.4375,6703.625,4141.6875,5489.14583333333,2204.75,5901.125,3131.375,6424.25,4878.22916666667,6464.15625,4059.82291666667,3841.875
"22","405 Sherbourne Street",43.66452,-79.373502,"Surface",1.75,110,"1.75","405 Sherbourne Street",10484.875,11757.25,14092.125,8520.125,10632.625,12131.125,11604.75,8171.5,8957.25,8803.5,13116.25,8778,8098.125,10610.125,7323.125,7980.5,6083.3125,8209.625,6882.75,4992.5,7867.25,5923.625,4914.125,2615.625,8669.125,6196.5,7780,8165.875,5811.25,9326.375,5067.875,4665,7652.875,5173.375,5370,6492.5,4366.90625,5763.32986111111,5932.375,4451.625
"23","400 Keele Street",43.66611,-79.465045,"Surface",1.25,35,"1.25","400 Keele Street",7924.625,8036.875,8057.3125,8960.75,7259,7816.625,9086.375,10205.5,7497.5,6250.9375,7286.875,7051.125,7593.25,8065.375,7132.125,6810.5,6579,7035.8125,5110.375,5403.875,8319.625,6220.25,5731.6875,5770.875,7628.625,5480.75,6002.875,6832.625,6561.75,4339.75,4564.875,8027.9375,4406.8125,4536,6187.625,5334.1875,4362.84791666667,6597.79583333333,6272.13541666667,5286.625
"24","695 Lansdowne Avenue",43.658969,-79.442739,"Surface",1.5,40,"1.50","695 Lansdowne Avenue",7055.25,8304.75,7131,7510.75,7941.75,7986,9788.125,9854.875,6970.625,6816.375,8209.625,7324.625,6940.5,6794.875,8818,5161.375,8740.25,6616.5,5463.75,6457.75,6235,5962.25,2864.625,5801.0625,6165.33333333333,5962.625,6656.6875,7197.125,6214.8125,3319.5,3354.375,5165,6061.5625,3598.625,3609.5,6190.5625,5183.84375,4129.5625,4055.78125,4829.1875
"25","9 Emerson Ave.",43.659412,-79.440143,"Surface",1.25,56,"1.25","9 Emerson Ave.",6664.375,8544.25,6299.125,6413.125,7627.875,8272.875,7768,9854.875,5334.375,6816.375,7449.625,7324.625,6930.375,6672,8818,4327.125,7785.75,5154,5330.5,5768.625,5197.75,4959.875,3768.375,5550.9375,5712.08333333333,5962.625,6656.6875,7375.8125,6419.9375,2622.625,3354.375,4853.5,7420.625,3743,4311.125,6723.6875,4865.34375,5248.09375,4801.75,3731.4375
"26","9 Salem Avenue",43.661011,-79.431667,"Surface",1.25,35,"1.25","9 Salem Avenue",7466.375,7392.25,6214.125,6481,8341.375,7376.125,7442.375,8576.125,5177.25,7122.5,7180.5,6227.75,5505.3125,6053.375,10027.625,6105.875,7617.125,5358.125,4289.875,5034.375,4944.75,5296.25,3553.625,5484.0625,6027.5,5883.5,4926.625,4509.3125,6066.75,2661.5,1899.25,3538.5,7159.3125,4025.25,3428.75,6729.8125,5924.25,2555.16666666667,2977.71875,3447.4375
"27","557 Palmerston Avenue",43.665039,-79.413579,"Surface",2,55,"2.00","557 Palmerston Avenue",6535.875,8206.4375,10686.625,7869.25,7533,9528.75,10202.25,8970,5809.875,6901.625,5654.75,6618.75,7102,6183.25,10195.5,5883.125,7972.75,6579.25,6659.5,5658.75,6541.375,2747,4295.125,5778.5625,7157.25,6515,5690,6230.125,7295.6875,4843.875,7292.875,6909.3125,7692.3125,5022.73611111111,3739.25,5231.75,3591.11458333333,2162.125,5885.875,2456.1875
"28","14 Arundel Avenue",43.678456,-79.351223,"Surface",1.5,83,"1.50","14 Arundel Avenue",7010.375,8221.875,8251.75,8284,9058.375,9158.25,7212.375,9762.25,6823,6199.25,9352.0625,7819.25,7725,9945.375,7092.125,3414.625,7197.125,2282.5,6064.9375,4615.625,4272.875,5509.5,3547.5,845.25,6165.375,4237.375,5583.375,3805.875,5743.6875,4255.625,4060.4375,6216.77083333333,2204.75,5703.75,1796.25,4023.125,4120.54166666667,5303.98958333333,3216.83333333333,3690.875
"29","25 Ferrier Avenue",43.679007,-79.348379,"Surface",1.5,47,"1.50","25 Ferrier Avenue",6241.75,7508,8000.625,8321.75,9058.375,9158.25,7212.375,8626.75,6823,6199.25,8742.6875,6760.375,7725,9957,6698.25,3254.375,7365,2648.75,6215.8125,5499.875,4436,5215,3334.125,1630.5,5552.875,3805.25,4943.875,3805.875,4705.9375,3910.75,4806.3125,6162.14583333333,2204.75,5503.66666666667,2247.625,4023.125,3348.47916666667,4386.40625,3066.33333333333,3473.625
"30","20 Eaton Avenue",43.679954,-79.343948,"Surface",1.5,70,"1.50","20 Eaton Avenue",7301.25,7325,6496.125,8148.5,9117.875,8550.25,6986.75,8193.75,6736.25,6654.125,7895.875,5805.75,7579.625,8471.375,7013.5,2450.125,6361.375,2648.75,6445.6875,5278.5625,3418.75,4780.125,2903.375,1528.25,4190.375,5137,4277.375,4458.375,2978.4375,4181,4806.3125,5863.91666666667,2132.875,4900.875,2806.875,3197.375,3159.82291666667,3101.875,4686.33333333333,3678.875
