"","id","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address"
"64","183","166 Woodbine Ave",43.668252,-79.306226,"Surface",1,21,"1.00","166 Woodbine Ave"
"65","184","192 Boardwalk Dr",43.668004,-79.307384,"Surface",1,24,"1.00","192 Boardwalk Dr"
"66","185","116 Joseph Duggan Rd",43.667724,-79.308522,"Surface",1,24,"1.00","116 Joseph Duggan Rd"
"67","186","118 Sarah Ashbridge Ave",43.667445,-79.309487,"Surface",1,24,"1.00","118 Sarah Ashbridge Ave"
"68","187","116 Winners Circle",43.667107,-79.31074,"Surface",1,10,"1.00","116 Winners Circle"
"69","188","157 Beatrice Street",43.654669,-79.416411,"Surface",1.5,18,"1.50","157 Beatrice Street"
"70","193","1675 Lakeshore Blvd. E. (Parks)",43.662417,-79.311188,"Surface",1,292,"1.00","1675 Lakeshore Blvd. E. "
"71","194","20 Ashbridges Bay Park Road (Parks)",43.660056,-79.311365,"Surface",1,270,"1.00","20 Ashbridges Bay Park Road "
"72","195","15 Price St",43.679814,-79.390007,"Surface",1.5,71,"1.50","15 Price St"
"73","200","1167 Eastern Avenue",43.665986,-79.313049,"Surface",1,66,"1.00","1167 Eastern Avenue"
"74","202","1141 Eastern Avenue",43.66566,-79.314079,"Surface",1,18,"1.00","1141 Eastern Avenue"
"75","204","1117 Dundas Street West",43.649267,-79.420135,"Surface",1.5,37,"1.50","1117 Dundas Street West"
"76","205","465 Huron Street",43.667778,-79.401648,"Surface",2,15,"2.00","465 Huron Street"
"77","206","2001 Lake Shore Blvd. West (Parks)",43.634103,-79.469036,"Surface",1,185,"1.00","2001 Lake Shore Blvd. West "
"78","207","2001 Lake Shore Blvd. West (Parks)",43.637123,-79.462266,"Surface",1,187,"1.00","2001 Lake Shore Blvd. West "
"79","208","1575 Lake Shore Blvd. W. (Parks)",43.637473,-79.451301,"Surface",1,193,"1.00","1575 Lake Shore Blvd. W. "
"80","209","300 Remembrance Drive ",43.6330895,-79.4087431,"Surface",1,65,"1.00","300 Remembrance Drive "
"81","210","1275 Lakeshore Blvd. W. (Parks)",43.6338559495817,-79.4382742037049,"Surface",1,120,"1.00","1275 Lakeshore Blvd. W. "
"82","212","363 Adelaide Street West",43.646712,-79.39491,"Surface",3.5,23,"3.50","363 Adelaide Street West"
"83","216","205 McCaul Street",43.657231,-79.392475,"Surface",3,38,"3.00","205 McCaul Street"
"84","217","1445 Bathurst Street",43.682499,-79.41787,"Surface",1.5,25,"1.50","1445 Bathurst Street"
"85","218","3354 Dundas Street West",43.665668,-79.4819,"Surface",1,13,"1.00","3354 Dundas Street West"
"86","219","87 Richmond Street East",43.652464,-79.374326,"Surface",2.5,20,"2.50","87 Richmond Street East"
"87","220","789 St. Clair Avenue West",43.680738,-79.429629,"Surface",1,18,"1.00","789 St. Clair Avenue West"
"88","223","1501 Yonge Street",43.6892603924517,-79.3942691134918,"Surface",2,37,"2.00","1501 Yonge Street"
"89","224","34 Hanna Avenue",43.638242,-79.419812,"Surface",2,184,"2.00","34 Hanna Avenue"
"90","225","80 Clinton Street",43.656346,-79.414555,"Surface",1.5,25,"1.50","80 Clinton Street"
"91","226","646 St. Clair Avenue West",43.682103,-79.4242,"Surface",1.25,18,"1.25","646 St. Clair Avenue West"
"92","227","105 Spadina Avenue",43.64668,-79.395233,"Surface",3.5,14,"3.50","105 Spadina Avenue"
"93","228","11 Kenwood Avenue",43.68298,-79.422065,"Surface",1.5,25,"1.50","11 Kenwood Avenue"
"94","229","110 Dovercourt Road",43.64384,-79.422762,"Surface",1.5,8,"1.50","110 Dovercourt Road"
"95","230","31A Parliament Street",43.649553,-79.361694,"Surface",2.25,230,"2.25","31A Parliament Street"
"96","231","19 Spadina Road",43.667974,-79.404218,"Surface",2,65,"2.00","19 Spadina Road"
"97","233","44 Parliament Street",43.650361,-79.362445,"Surface",2.5,120,"2.50","44 Parliament Street"
"98","235","2201 Dundas Street West",43.653388,-79.451323,"Surface",1.5,10,"1.50","2201 Dundas Street West"
"99","238","9 Madison Ave.",43.667558,-79.4028,"Surface",2,38,"2.00","9 Madison Ave."
"100","240","700 St. Clair Ave West",43.681863,-79.42654,"Surface",1.5,18,"1.50","700 St. Clair Ave West"
"101","241","9 Bonar Place",43.6527778,-79.4338219,"Surface",1,34,"1.00","9 Bonar Place"
"102","243","115 Unwin Avenue",43.641425,-79.341888,"Surface",1,123,"1.00","115 Unwin Avenue"
"103","244","1439 Danforth Avenue",43.682646,-79.326321,"Surface",1.5,20,"1.50","1439 Danforth Avenue"
"104","246","31 Blackthorn Ave",43.6754575,-79.4582834,"Surface",1,37,"1.00","31 Blackthorn Ave"
"105","248","136 Broadview Avenue",43.659822,-79.350373,"Surface",1.5,22,"1.50","136 Broadview Avenue"
"106","249","1670 Bayview Ave",43.7074,-79.376543,"Surface",2,33,"2.00","1670 Bayview Ave"
"107","251","201 Claremont Street",43.651657,-79.41125,"Surface",1,43,"1.00","201 Claremont Street"
"108","252","154 Westmount Avenue",43.678907,-79.442248,"Surface",1.25,14,"1.25","154 Westmount Avenue"
"109","256","1624 Queen Street West",43.639526,-79.442441,"Surface",1,33,"1.00","1624 Queen Street West"
"110","259","4 Spadina Road",43.666878,-79.404116,"Surface",1.5,51,"1.50","4 Spadina Road"
"111","260","94 Northcliffe Blvd.",43.6778094174964,-79.4406608171272,"Surface",1.25,13,"1.25","94 Northcliffe Blvd."
"112","263","130 Elizabeth Street - Toronto Coach Terminal",43.6556316577341,-79.3857854604721,"Surface",4,27,"4.00","130 Elizabeth Street "
"113","266","250 Fort York Blvd. ",43.637208258929,-79.406461027578,"Surface",1,49,"1.00","250 Fort York Blvd. "
"114","268","271 Front Street East",43.651254,-79.362971,"Surface",2.5,83,"2.50","271 Front Street East"
"115","269","1010 Yonge St.",43.675942,-79.389439,"Surface",1.5,48,"1.50","1010 Yonge St."
"116","271","800 Fleet Street",43.636821,-79.409705,"Surface",1,94,"1.00","800 Fleet Street"
"117","277","242 Danforth Avenue",43.6770516151071,-79.3548725310048,"Surface",2,19,"2.00","242 Danforth Avenue"
"118","279","287 Rushton Road",43.681835,-79.4277031,"Surface",1.5,16,"1.50","287 Rushton Road"
"119","282","838 Broadview Ave.",43.678499963983,-79.3588725706043,"Surface",1,11,"1.00","838 Broadview Ave."
"120","287","1091 Eastern Avenue",43.664603,-79.318234,"Surface",1,45,"1.00","1091 Eastern Avenue"
"121","288","292 Brunswick Avenue",43.665368970093,-79.4076361251659,"Surface",2,19,"2.00","292 Brunswick Avenue"
"122","289","373 Front Street East",43.6521902325786,-79.3594207332046,"Surface",2,450,"2.00","373 Front Street East"
