"","address","distance","n_business","time_spent","n_customers","traffic_volume","convert","score"
"20","7 Jackson Avenue",0.26370863140901,8,0.257668528598008,0.892857142857143,0.730769230769231,0,1.05869909796076e-05
"21","128 Eighth Street",0.575549028357846,8,0.175411376903488,0.832142857142857,0.399408284023669,0,1.03791795315355e-05
"22","Islington Lomond Lot - 20 Lomond Drive",0.413512329901472,8,0.268454436845763,0.775,0.659763313609467,0,1.02001294268396e-05
"23","3220 Bloor Street West",0.364414607920517,8,0.268454436845763,0.775,0.70414201183432,0,1.01552810662422e-05
"24","Kennedy North Service Road - 2450 Eglinton Ave East",0.484243437494749,8,0.551831462021798,0.757142857142857,0.461538461538462,0,1.00685845452698e-05
"25","7 Monkton Avenue",0.408768141597281,8,0.268454436845763,0.775,0.63905325443787,0,9.95821895371405e-06
"26","12 Willingdon Blvd. - partial construction, reduced spaces",0.280344049285267,8,0.257668528598008,0.892857142857143,0.730769230769231,0,9.60935467427018e-06
"27","9 Willingdon Blvd.",0.276250765143538,8,0.257668528598008,0.892857142857143,0.730769230769231,0,9.57045317838802e-06
"28","139 ISLINGTON AVE.",0.564069795552079,8,0.175411376903488,0.832142857142857,0.331360946745562,0,9.53255728669946e-06
"29","342 Prince Edward Drive N.",0.225808752558489,8,0.257668528598008,0.892857142857143,0.64792899408284,0,9.3016184613434e-06
"30","Leslie Lot - 2760 Old Leslie Street",0.167481910878797,8,0.609524466205901,0.835714285714286,0.701183431952663,0,9.24761877424892e-06
"31","934 Royal York Road",0.291546683730705,8,0.268454436845763,0.775,0.680473372781065,0,9.23782295987875e-06
"32","Don Mills Lot - 1800 Sheppard Ave East",0.228621069475315,8,0.727802359209667,0.703571428571429,0.618343195266272,0,9.01659390509597e-06
"33","Warden North Lot - 705 Warden Ave",0.253901340124129,8,0.551831462021798,0.757142857142857,0.576923076923077,0,8.84477266256133e-06
"34","11 Grenview Blvd. N.",0.250336563503987,8,0.257668528598008,0.892857142857143,0.674556213017751,0,8.78993768610067e-06
"35","Wilson South Lot - 30 Tippett Road",0.0834767380886447,8,0.662340211382686,0.771428571428571,0.834319526627219,0,8.72249430439658e-06
"36","5 Dayton Avenue",0.341591339790748,8,0.175411376903488,0.832142857142857,0.476331360946746,0,8.70742384929241e-06
"37","Wilson Main Lot - 50 Wilson Heights Blvd",0.0896164978701084,8,0.662340211382686,0.771428571428571,0.718934911242604,0,8.60765915500197e-06
"38","Kennedy South Lot -155 Transway Cres",0.479329402295835,8,0.551831462021798,0.757142857142857,0.417159763313609,0,8.51999723860552e-06
"39","140 Fifth Street",0.551130213298045,8,0.175411376903488,0.832142857142857,0.248520710059172,0,8.512906555682e-06
"40","66 Third Street",0.543385430486778,8,0.175411376903488,0.832142857142857,0.248520710059172,0,8.43045731384336e-06
"41","120 Sixth Street",0.568789567065983,8,0.175411376903488,0.832142857142857,0.29585798816568,0,8.2173829484406e-06
"42","Transit Road Lot - 25 Transit Rd",0.0548144286294313,8,0.662340211382686,0.771428571428571,0.804733727810651,0,8.16891960355088e-06
"43","Finch East - 814 Willowdale Ave - partial closure, reduced spaces",0.39815066074732,8,0.625104130240845,0.832142857142857,0.414201183431953,0,7.72037826522796e-06
"44","575 Royal York Road",0.324826804077138,8,0.175411376903488,0.832142857142857,0.476331360946746,0,7.61399648265626e-06
"45","105 Fourth Street",0.550815579055327,8,0.175411376903488,0.832142857142857,0.248520710059172,0,7.5966818531967e-06
