"","X","id","address","lat","lng","capacity","Convert","n_business","distance","n_customers","time_spent","traffic_volume"
"80",80,209,"300 Remembrance Drive ",43.6330895,-79.4087431,65,0,20,0.00637634917827121,26.5,1.79367007692644,85
"81",81,210,"1275 Lakeshore Blvd. W. (Parks)",43.6338559495817,-79.4382742037049,120,0,20,0.00511756579204288,23.75,2.03721263293706,141
"82",82,212,"363 Adelaide Street West",43.646712,-79.39491,23,0,20,0.00106289780622681,35.25,1.42645941258104,126
"83",83,216,"205 McCaul Street",43.657231,-79.392475,38,0,20,0.00146470242629466,42.3,2.70323357264271,141
"84",84,217,"1445 Bathurst Street",43.682499,-79.41787,25,0,20,0.00136115301700592,27.55,2.19060752872191,104
"85",85,218,"3354 Dundas Street West",43.665668,-79.4819,13,0,20,0.00204647373789581,24.25,2.12608507324845,85
"86",86,219,"87 Richmond Street East",43.652464,-79.374326,20,0,20,0.00107750068532589,28.3,1.4416213135585,156
"87",87,220,"789 St. Clair Avenue West",43.680738,-79.429629,18,0,20,0.000501578224305838,26.45,2.53238246300449,75
"88",88,223,"1501 Yonge Street",43.6892603924517,-79.3942691134918,37,0,20,0.000778031707228941,35.6,1.47004207201176,136
"89",89,224,"34 Hanna Avenue",43.638242,-79.419812,184,0,20,0.00181101512555644,31.55,1.05335113324744,64
"90",90,225,"80 Clinton Street",43.656346,-79.414555,25,0,20,0.00116644133542091,33.8,2.23291490770707,144
"91",91,226,"646 St. Clair Avenue West",43.682103,-79.4242,18,0,20,0.000679121366073664,28.75,2.62820690597508,83
"92",92,227,"105 Spadina Avenue",43.64668,-79.395233,14,0,20,0.000973159437550964,34.8,1.32553950264344,128
"93",93,228,"11 Kenwood Avenue",43.68298,-79.422065,25,0,20,0.00135841726157811,24.1,1.76371605781232,112
"94",94,229,"110 Dovercourt Road",43.64384,-79.422762,8,0,20,0.000571285673979404,33.45,2.11742293577447,98
"95",95,230,"31A Parliament Street",43.649553,-79.361694,230,0,20,0.00237317746831173,33.2,1.79697240503989,104
"96",96,231,"19 Spadina Road",43.667974,-79.404218,65,1,20,0.00285749440449253,30.65,1.43931995016388,180
"97",97,233,"44 Parliament Street",43.650361,-79.362445,120,0,20,0.00262467243824151,30.6,1.71214607003201,97
"98",98,235,"2201 Dundas Street West",43.653388,-79.451323,10,0,20,0.000731106709188742,20.2,2.07193885624437,113
"99",99,238,"9 Madison Ave.",43.667558,-79.4028,38,0,20,0.00228075795713282,28.8,1.12559371867831,175
"100",100,240,"700 St. Clair Ave West",43.681863,-79.42654,18,0,20,0.000870104667566436,30.95,1.68316685121122,58
"101",101,241,"9 Bonar Place",43.6527778,-79.4338219,34,0,20,0.00358947686808623,26.15,1.25230769371974,103
"102",102,243,"115 Unwin Avenue",43.641425,-79.341888,123,0,20,0.0166835033749855,27.65,7.51151597327699,111
"103",103,244,"1439 Danforth Avenue",43.682646,-79.326321,20,0,20,0.000871095301061741,28.85,1.51814288277506,145
"104",104,246,"31 Blackthorn Ave",43.6754575,-79.4582834,37,0,20,0.000976648542668889,32.05,1.23918583998169,181
"105",105,248,"136 Broadview Avenue",43.659822,-79.350373,22,0,20,0.00178963096061173,30.95,2.91837520753977,77
