"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"42","EATING ESTABLISHMENT","VIET THAI KITCHEN","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,45,0.5,48,2.16873501605334
"43","EATING ESTABLISHMENT","BEST HAKKA","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1733 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7255366,-79.3128758,45,0.5,46,9.17980328896895
"44","EATING ESTABLISHMENT","THE HALAL STOP","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1733 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7255366,-79.3128758,45,0.5,54,1.82747913516107
"45","CLOTHING DROP BOX LOCATION PERMIT","OASIS CLOTHING BANK","TORONTO, ON","M4A 2K7","CARNFORTH RD","58 CARNFORTH RD,TORONTO, ON,M4A 2K7",43.73815579,-79.3172303,5,0.15,5,19.5529511500971
"46","CLOTHING DROP BOX LOCATION PERMIT","AMJ RECYCLING INC","TORONTO, ON","M4A 1W5","O'CONNOR DR","1677 O'CONNOR DR,TORONTO, ON,M4A 1W5",43.7168685,-79.3046099,5,0.15,5,15.1438371548195
"47","PLUMBING CONTRACTOR","TOP SERVICE PLUMBING & DRAIN INC","TORONTO, ON","M4A 1K2","ECCLESTON DR","11 ECCLESTON DR,TORONTO, ON,M4A 1K2",43.727456,-79.315163,2,0.5,4,0.261391040807862
"48","PLACE OF AMUSEMENT","GAMER GOLF","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,15,1,15,0.46040574375363
"49","RETAIL STORE (FOOD)","DAWES DOLLAR & VIDEOS","TORONTO, ON","M4B 2E6","DAWES RD","387 DAWES RD,TORONTO, ON,M4B 2E6",43.70159439,-79.2967441,25,1,24,0.604644776321948
"50","RETAIL STORE (FOOD)","PEEK FREAN CO.-COMPANIE PEEK FREAN","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,25,1,20,0.364715013016213
"51","RETAIL STORE (FOOD)","BEANWISE","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,25,1,27,0.626110361889005
"52","RETAIL STORE (FOOD)","BARGAIN BUCKS CONVENIENCE","TORONTO, ON","M4B 2V7","O'CONNOR DR","1553 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71480881,-79.30533519,25,1,29,1.26743226866694
"53","RETAIL STORE (FOOD)","KATIES CAKES","TORONTO, ON","M4B 2V7","O'CONNOR DR","1531 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71439876,-79.30565022,25,1,30,1.15080081946672
"54","RETAIL STORE (FOOD)","PAPA JOHN'S","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,25,1,31,2.12070660466764
"55","RETAIL STORE (FOOD)","SUSHI REAL FRUIT","TORONTO, ON","M4B 2T8","O'CONNOR DR","1500 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.71375497,-79.30657653,25,1,20,0.29042376671529
