"","id","address","lat","lng","capacity","Convert"
"183","668","2700 Eglinton Avenue West",43.690203,-79.477919,109,0
"184","669","2700 Eglinton Avenue West",43.690792,-79.478585,38,0
"185","670","2053 Dufferin Street",43.6866,-79.446383,23,0
"186","674","2623 Eglinton Avenue West",43.689981,-79.475222,13,0
"187","675","4 Rosemount Avenue",43.7013911,-79.5138189,34,0
"188","700","101 Grangeway Avenue",43.775378,-79.250093,261,0
"189","701","197 Blantyre Avenue",43.68177,-79.281496,83,0
"190","702","1 Brimley Road (Bluffer's Park)",43.70664,-79.235437,232,0
"191","703","1 Brimley Road (Bluffer's Park)",43.707446,-79.234632,128,0
"192","705","1 Brimley Road (Bluffer's Park)",43.712603,-79.230051,168,0
"193","706","284 Milner Avenue",43.789429,-79.238387,103,0
"194","707","1530 Markham Road - minor capital repairs onsite",43.789507,-79.237915,24,0
"195","709","1940 Lawrence Avenue East",43.744476,-79.299188,25,0
"196","710","100 Grangeway Avenue",43.77458,-79.251359,214,0
"197","711","158 Borough Drive",43.772181,-79.256377,16,0
"198","801","Kipling South Lot - 400 Munster Avenue",43.636572,-79.534117,1200,0
"199","802","Islington Main Lot - 3330 Bloor Street West",43.644181,-79.526188,534,0
"200","804","Islington Lomond Lot - 20 Lomond Drive",43.646774,-79.522862,283,0
"201","805","Keele Lot - 400 Indian Road",43.655818,-79.457159,187,0
"202","810","Wilson South Lot - 30 Tippett Road",43.733662,-79.447117,645,0
"203","811","Wilson Main Lot - 50 Wilson Heights Blvd",43.736244,-79.449177,885,0
"204","813","Finch West Lot - 18 Hendon Ave",43.782032,-79.416368,1552,0
"205","814","Finch East - 814 Willowdale Ave - partial closure, reduced spaces",43.782319,-79.415907,900,0
"206","815","Leslie Lot - 2760 Old Leslie Street",43.770058,-79.367484,102,0
"207","816","Don Mills Lot - 1800 Sheppard Ave East",43.775815,-79.346707,366,0
"208","817","Ellesmere Lot - Near 1050 Ellesmere Road - closed for construction until November 2019",43.766793,-79.276394,68,0
"209","818","Lawrence East Lot - Near 2450 Lawrence Ave East",43.750477,-79.270269,90,0
"210","821","Kennedy South Lot -155 Transway Cres",43.731844,-79.263471,673,0
"211","822","Warden North Lot - 705 Warden Ave",43.715522,-79.28131,920,0
"212","823","Warden South Lot - 701 Warden Ave",43.710032,-79.27979,151,0
"213","824","Victoria Main Lot - 777 Victoria Park Avenue",43.693563,-79.289052,173,0
"214","826","Kennedy North Service Road - 2450 Eglinton Ave East",43.734117,-79.263977,199,0
"215","827","Downsview Lot - 415 William R Allen Rd",43.747011,-79.459006,632,0
"216","829","Transit Road Lot - 25 Transit Rd",43.733843,-79.452436,72,0
"217","831","22 Fieldway Rd",43.642473,-79.52754,270,0
"218","833","3950 Keele Street",43.7655225,-79.491758,335,0
"219","834","2800 Steeles Ave W.",43.7778992,-79.5111635,1881,0
"220","835","7332 Jane St",43.7822568,-79.521934,53,0
