"","Category","Operating.Name","city","Zip","Street","Address","lat","long"
"88","RETAIL STORE (FOOD)","PETER/S NATURAL HEALTH FOODS","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"89","RETAIL STORE (FOOD)","TUTTI FRUTTI FAMOUS FOOD","TORONTO, ON","M5T 2K1","KENSINGTON AVE","64 KENSINGTON AVE,TORONTO, ON,M5T 2K1",43.6543885,-79.400678
"90","RETAIL STORE (FOOD)","NGUYEN HUONG FOOD CO LTD","TORONTO, ON","M5T 2E7","SPADINA AVE","322 SPADINA AVE,TORONTO, ON,M5T 2E7",43.6536639,-79.398642
"91","RETAIL STORE (FOOD)","AKIL GIFTS & SOUNEVIRS","TORONTO, ON","M5J 2N5","QUEENS QUAY W","249 QUEENS QUAY W,TORONTO, ON,M5J 2N5",43.638838,-79.385573
"92","RETAIL STORE (FOOD)","SOLOWAY'S HOT DOG FACTORY OUTLET","TORONTO, ON","M5C 1N9","RICHMOND ST E","79 RICHMOND ST E,TORONTO, ON,M5C 1N9",43.6525143043478,-79.3748149130435
"93","RETAIL STORE (FOOD)","GIA PHAT COMPANY","TORONTO, ON","M5T 2L4","AUGUSTA AVE","155 AUGUSTA AVE,TORONTO, ON,M5T 2L4",43.6528143368421,-79.40116435
"94","RETAIL STORE (FOOD)","HERBIE'S HERBS CO","TORONTO, ON","M5V 2B5","QUEEN ST W","556 QUEEN ST W,TORONTO, ON,M5V 2B5",43.6474938,-79.403138
"95","RETAIL STORE (FOOD)","FAMILY FOOD MARKET","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"96","RETAIL STORE (FOOD)","GREEN FARMS","TORONTO, ON","M5R 3H7","BATHURST ST","1364 BATHURST ST,TORONTO, ON,M5R 3H7",43.6799588,-79.4172258
"97","RETAIL STORE (FOOD)","SEA KING FISH STORE","TORONTO, ON","M5T 1M1","BALDWIN ST","189 BALDWIN ST,TORONTO, ON,M5T 1M1",43.6545957,-79.4012042
"98","RETAIL STORE (FOOD)","BOB'S COVENIENCE","TORONTO, ON","M5A 2Z7","PARLIAMENT ST","316-318 PARLIAMENT ST,TORONTO, ON,M5A 2Z7",43.6618716,-79.3669912
"99","RETAIL STORE (FOOD)","WHAT A BAGEL","TORONTO, ON","M5P 2W3","SPADINA RD","421 SPADINA RD,TORONTO, ON,M5P 2W3",43.6889670142857,-79.4126047071429
"100","RETAIL STORE (FOOD)","SEAFRONT FISH MARKET","TORONTO, ON","M5E 1C3","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C3",43.6490998,-79.3718809
"101","RETAIL STORE (FOOD)","ST. LAWRENCE GOURMET DELICATESSEN","TORONTO, ON","M5E 1C3","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C3",43.6490998,-79.3718809
"102","RETAIL STORE (FOOD)","MAN TAK HONG","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"103","RETAIL STORE (FOOD)","ZHI FONG TRADING COMPANY","TORONTO, ON","M5T 2K1","KENSINGTON AVE","46 KENSINGTON AVE,TORONTO, ON,M5T 2K1",43.65393,-79.400504
"104","RETAIL STORE (FOOD)","WHOLE FOODS MARKET","TORONTO, ON","M5R 3R9","AVENUE RD","87 AVENUE RD,TORONTO, ON,M5R 3R9",43.6719125,-79.395151
"105","RETAIL STORE (FOOD)","WHITEHOUSE MEATS","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"106","RETAIL STORE (FOOD)","BELLAIR COFFEE PLUS","TORONTO, ON","M5R 2A7","BAY ST","1240 BAY ST,TORONTO, ON,M5R 2A7",43.6703246,-79.3903555
"107","RETAIL STORE (FOOD)","MAIN DRUG MART","TORONTO, ON","M5A 4P5","THE ESPLANADE","140 THE ESPLANADE,TORONTO, ON,M5A 4P5",43.6485714,-79.3701379
"108","RETAIL STORE (FOOD)","WHOLE HEALTH","TORONTO, ON","M5G 2C8","BAY ST","777 BAY ST,TORONTO, ON,M5G 2C8",43.6597907,-79.3849782
"109","RETAIL STORE (FOOD)","CHA YI CHINESE HERBAL ACUPUNCTURE CENTRE","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"110","RETAIL STORE (FOOD)","YUE TAK TONG GINSENG AND CHINESE HERBS INC","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"111","RETAIL STORE (FOOD)","THE BAGEL HOUSE","TORONTO, ON","M5M 3Y6","AVENUE RD","1722 AVENUE RD,TORONTO, ON,M5M 3Y6",43.7282924,-79.4182381
"112","RETAIL STORE (FOOD)","MARKIE PHARMACY","TORONTO, ON","M5R 3K4","BAY ST","1235 BAY ST,TORONTO, ON,M5R 3K4",43.6709531,-79.3897541
"113","RETAIL STORE (FOOD)","KUAN SHIH YIN VEGETARIAN INC","TORONTO, ON","M5T 2L6","AUGUSTA AVE","192 AUGUSTA AVE,TORONTO, ON,M5T 2L6",43.6543703,-79.4021709
"114","RETAIL STORE (FOOD)","GIFT WORKS","TORONTO, ON","M5E 1C2","FRONT ST E","95 FRONT ST E,TORONTO, ON,M5E 1C2",43.6491228,-79.3718086
"115","RETAIL STORE (FOOD)","LA BOUCHERIE FINE MEATS","TORONTO, ON","M5E 1C2","FRONT ST E","95 FRONT ST E,TORONTO, ON,M5E 1C2",43.6491228,-79.3718086
"116","RETAIL STORE (FOOD)","UKRAINIAN STORE DNISTER","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"117","RETAIL STORE (FOOD)","DILISO'S FINE MEATS","TORONTO, ON","M5E 1C4","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C4",43.649111,-79.37197
